,0,1
10,"[0, 0.04622091160601423, 0.14853575114418593, 0.47370183614976424, 0.718243003280269, 0.04238565906353135, 0.23385100560316044, 0.43042559820504334, 0.6559956975810776, 0.025029630570145442, -0.03974234799886583, -0.4527931588048426, -0.8644948525439964, 0.00803252658813368, 0.0253471815465984, 0.11601287306566922, 0.184340604171023, 0.013937972825708684, -0.0720576866091275, -0.24697488083366823, -0.35896481752031767]","[0, 0.02169275731607879, 0.0831854265069433, -0.18269782009760843, -0.5744730684951673, 0.11489544969321278, 0.5862070355119101, 0.9765312205381026, 1.2830639711286447, 0.08841885054129699, -0.18092786540037292, -1.7441469085597814, -3.5324921444204764, 0.09660149611869565, 0.30826494626819395, 0.6836055290866633, 1.023824124299206, 0.13788953050142838, 0.6186015577001299, 1.174373947456512, 1.6442511282730632]"
11,"[0, 0.04351100220854261, 0.13978101468344445, 0.44018258678309846, 0.7560021353149362, 0.0251088377882915, 0.20335295488089217, 0.3483638449320362, 0.5205500672611504, -0.007004420691369518, -0.023220334434940603, 0.010271449701021491, 0.07475038601475985, -0.036373299206341664, -0.06381072433329725, 0.06269952551758344, 0.21615906047842742, -0.06846412784772703, -0.35605249218574886, -0.6108819652674781, -0.7246093496907816]","[0, 0.19649695122041635, 0.26548549431125645, 0.10046051668962076, -0.49096656655474336, 0.25237590583628844, 0.9913372196825121, 1.5385735838519032, 1.9419766253597026, 0.22207059781860772, 0.7132903021114898, 1.4009865707289515, 1.8165978501877225, 0.18385692561342867, 0.651545307964687, 1.3947407814569386, 1.923952527588863, 0.14206597436025684, 0.6951329885652792, 1.3708834039307027, 1.7741699454800568]"
12,"[0, 0.05230031799253495, 0.17572364002658342, 0.583721735712199, 0.935645141378738, 0.02752173493888979, 0.17229310906026873, 0.35507755201355545, 0.5986013171548791, -0.00677731903485356, -0.1307071907267193, -0.5057799030699562, -0.802712761321308, -0.032069591803270694, -0.08747362682131547, -0.047677341206558935, 0.04247448711342434, -0.04464314439701712, -0.3038530179441277, -0.5702301012204744, -0.6184849750018888]","[0, 0.09008659770814095, 0.12367089492178585, -0.22635984079934773, -0.8338394468507512, 0.22553706038792354, 0.8982753555182703, 1.4363643478236228, 1.87139805075777, 0.1846003385045181, 0.004498778578337038, -1.4563872625641672, -3.0553144095607, 0.1456906489371405, 0.42309858993961447, 0.8920290804052758, 1.4022005056441287, 0.14341353353980693, 0.7037862089478611, 1.328524359576306, 1.9352559266436957]"
13,"[0, -0.025727027333746072, 0.03169880754741307, 0.2926818975614834, 0.6677878202424, -0.08392784118616588, -0.03652511675492231, 0.09416423824974536, 0.2775402545913863, -0.10814580883289915, -0.19687960143801894, -0.21151850407176756, -0.15413835902969605, -0.1283685151756462, -0.3035258174885362, -0.37463497970123766, -0.35352501006002135, -0.1604817065058076, -0.6749544474221596, -1.1067628960098115, -1.127621823839396]","[0, 0.2889387744324448, 0.3995030894406258, 0.10186141661544133, -0.64884404009427, 0.28419296224618334, 1.0966603040451643, 1.6978004621044192, 2.1175782095982547, 0.2437306454104737, 0.8380702318010137, 1.5465716296615326, 1.8681455631073203, 0.19037066178730183, 0.7870208879555376, 1.615274759625113, 2.164539683131773, 0.14186634860182767, 0.7543688372678278, 1.5121817264636361, 2.0180393972888355]"
14,"[0, -0.025727027333746072, 0.03169880754741307, 0.2926818975614834, 0.6677878202424, -0.08392784118616588, -0.03652511675492231, 0.09416423824974536, 0.2775402545913863, -0.10814580883289915, -0.19687960143801894, -0.21151850407176756, -0.15413835902969605, -0.1283685151756462, -0.3035258174885362, -0.37463497970123766, -0.35352501006002135, -0.1604817065058076, -0.6749544474221596, -1.1067628960098115, -1.127621823839396]","[0, 0.2889387744324448, 0.3995030894406258, 0.10186141661544133, -0.64884404009427, 0.28419296224618334, 1.0966603040451643, 1.6978004621044192, 2.1175782095982547, 0.2437306454104737, 0.8380702318010137, 1.5465716296615326, 1.8681455631073203, 0.19037066178730183, 0.7870208879555376, 1.615274759625113, 2.164539683131773, 0.14186634860182767, 0.7543688372678278, 1.5121817264636361, 2.0180393972888355]"
15,"[0, -0.011110317403411202, 0.13697166689489973, 0.5925333322775773, 0.9916533178226317, -0.039468372758633734, 0.08134978602143077, 0.28015399208254094, 0.556498961225766, -0.06584312907035865, -0.1110751428782812, -0.05891070793445867, 0.08509775637399866, -0.08946421054286997, -0.18207726680020092, -0.19330343258927798, -0.0894643824178276, -0.11688241714303807, -0.5020442319269178, -0.8066179474205797, -0.7490913565358723]","[0, 0.2893214596860487, 0.3520027647295382, 0.10864586621053404, -0.7365703277727523, 0.2897132737006519, 1.0778566172058492, 1.627661914869803, 2.0429639272247457, 0.26963931079244025, 0.8746865108171951, 1.543997004720673, 1.845229668763361, 0.22576668221609608, 0.7966057454552696, 1.5910545030870766, 2.089405036588508, 0.17996347432543142, 0.8692246200193927, 1.6959456348246955, 2.191913349275253]"
16,"[0, -0.12376601128750983, -0.032565023115547695, 0.3470061100274133, 0.7776331239461138, -0.12218473719101523, -0.08825159907659877, 0.06664896944756396, 0.2958557519599643, -0.1382461651897329, -0.25179635119360005, -0.3007404299483326, -0.2115886787085226, -0.15848136590915796, -0.3385004965110332, -0.414081052481053, -0.30735811336422236, -0.19290400084021964, -0.7925694010850234, -1.2470335547213411, -1.1511296300416354]","[0, 0.31484418080039106, 0.4657494257589119, 0.2266464175878261, -0.5628631536471527, 0.3229957298778352, 1.1927521501813156, 1.798910891736379, 2.198961895565005, 0.2880387842011545, 0.9289360776966769, 1.7137112603305564, 2.0153871081011343, 0.2433105986813364, 0.870091937237653, 1.7654404695931558, 2.2969634845031117, 0.20363260570349007, 0.9517641156827382, 1.8331995759021291, 2.3266768644650533]"
17,"[0, -0.20894303720551277, -0.2622824121735596, 0.08839614563894678, 0.4937039232161273, -0.1316245137747182, -0.04758640673199612, 0.15888856154628028, 0.46584770239602485, -0.15414328114584996, -0.21734336210901337, -0.29906981809345246, -0.12884656107031267, -0.18764095652642815, -0.4034114845150576, -0.515605603247705, -0.3359136711476147, -0.2316470950436634, -0.9129880459296951, -1.4001948928448618, -1.1937949014001874]","[0, 0.10559312863466054, 0.09973291064022761, -0.03555087409927133, -0.4984716695369829, 0.27752025513513184, 1.0729636855722018, 1.7629862840874087, 2.356621781597428, 0.2565116238369831, 0.8410851036376817, 1.5024654208879533, 1.7293121009003725, 0.2274174193022055, 0.8614105142329505, 1.690449577416572, 2.1442314304287127, 0.2119257763139246, 1.006640235456178, 2.089883992302268, 2.698532152503176]"
18,"[0, 0.0026373132789017724, 0.15500576423295562, 0.7075069163265666, 1.1645899223786729, -0.08644884417419654, 0.06049251034285782, 0.31197658195829936, 0.6461194605951603, -0.10063570845302076, -0.11538638520408877, -0.03626872368884867, 0.17723540911584976, -0.12104875016002954, -0.214818677070973, -0.17860132662102296, 0.01395633835769583, -0.15513548982664546, -0.6083390924176877, -0.947252692743121, -0.8644116773304091]","[0, 0.434726299744414, 0.6036830814420102, 0.37661947129039847, -0.4930519968977548, 0.3763968709578775, 1.2952890345291526, 1.930740478294529, 2.3309864365592237, 0.3489026337518486, 1.052031318336991, 1.892828117636624, 2.255286437747439, 0.3063801720331028, 1.010041669013412, 1.9453083748802498, 2.5132022123552678, 0.26766231178918787, 1.152263868570456, 2.1167978786028985, 2.60386869506102]"
19,"[0, 0.020055196298624643, 0.19614249054423355, 0.7818876659039934, 1.217737206404793, -0.07604365732133, 0.1458997054079647, 0.49029666714477665, 0.9134963475165533, -0.08374267603252906, -0.039833676062365306, 0.1253846133207387, 0.40934442776053404, -0.10848792608908212, -0.14349113408202313, -0.008339951744624275, 0.2592902838552835, -0.14429598176424768, -0.6125402857493741, -0.994775223481795, -0.9665340285216081]","[0, 0.297402444770281, 0.4282797496291965, 0.14162650473814004, -0.6214594653437222, 0.3418105452472438, 1.149659682468069, 1.6836825348691664, 2.0013743046600543, 0.33098189063507, 0.9280771756033077, 1.6078313650162923, 1.8239146999105906, 0.2976679485230809, 0.9651044641308502, 1.8149702044923846, 2.310081583537229, 0.2619530150981135, 1.1068977129218314, 2.035294490109304, 2.5094102370093085]"
20,"[0, 0.020055196298624643, 0.19614249054423355, 0.7818876659039934, 1.217737206404793, -0.07604365732133, 0.1458997054079647, 0.49029666714477665, 0.9134963475165533, -0.08374267603252906, -0.039833676062365306, 0.1253846133207387, 0.40934442776053404, -0.10848792608908212, -0.14349113408202313, -0.008339951744624275, 0.2592902838552835, -0.14429598176424768, -0.6125402857493741, -0.994775223481795, -0.9665340285216081]","[0, 0.297402444770281, 0.4282797496291965, 0.14162650473814004, -0.6214594653437222, 0.3418105452472438, 1.149659682468069, 1.6836825348691664, 2.0013743046600543, 0.33098189063507, 0.9280771756033077, 1.6078313650162923, 1.8239146999105906, 0.2976679485230809, 0.9651044641308502, 1.8149702044923846, 2.310081583537229, 0.2619530150981135, 1.1068977129218314, 2.035294490109304, 2.5094102370093085]"
21,"[0, 0.11993501040183813, 0.3661325071296507, 1.0489721153231772, 1.471139009354104, -0.02799375519419047, 0.29740555229290894, 0.7342166508299097, 1.2589218379659233, -0.045016090354593176, 0.024734567670977804, 0.22789893986906706, 0.5188189920740189, -0.07069814972702941, -0.11581702812176244, 0.004004562251142087, 0.24907484826397094, -0.10251789355145509, -0.44722023344578105, -0.673271645592206, -0.5935984118375612]","[0, 0.38012675896803116, 0.5868748813207738, 0.21591769906916736, -0.7290554397801057, 0.3794282340621587, 1.2141235611638639, 1.7319097259228364, 2.033966283668444, 0.3646147375584573, 1.0232953963113927, 1.7049638111461143, 1.8844323854614884, 0.3237456641572141, 0.9802968592105613, 1.7263950919028896, 2.093084976494995, 0.28554877974444176, 1.1433033497353366, 2.03409149425633, 2.4763890077692086]"
22,"[0, 0.013255014163446146, 0.23692911252883297, 0.9672516736229809, 1.4680151447816399, -0.036795581632580274, 0.2738472737540759, 0.6840613437102749, 1.1627667999637648, -0.04648801189102527, 0.04534682359025765, 0.2395164006759635, 0.5122249230581433, -0.0737828320861632, -0.07270268222032228, 0.09041735454368113, 0.3749229738837337, -0.11316596563012846, -0.48716468883462016, -0.7372451865657585, -0.6571536653245508]","[0, 0.3599325929567157, 0.5359192716591542, 0.2634165223987933, -0.6163003186065829, 0.3882442022525382, 1.2610663497876844, 1.8446738648665109, 2.1450355774566106, 0.3757357542769394, 1.0593358205149743, 1.803359495190815, 2.006783745565055, 0.3388558975639083, 1.0427210228902988, 1.8744880557370653, 2.2926268083331935, 0.30259579579245505, 1.1875239228135481, 2.1290711208128053, 2.5741247348365794]"
23,"[0, -0.025230262465246685, 0.15587836468242786, 0.8468113814616343, 1.3368244524380053, -0.06080921929455828, 0.20419733460079234, 0.5803039473014941, 1.024982443910637, -0.06977410734354553, -0.011831515768318281, 0.14666111041553345, 0.42371161333470325, -0.09361787929544611, -0.08254870957407469, 0.11039478155676007, 0.43702611636432537, -0.13150560111904724, -0.5615417729512385, -0.8837606856744546, -0.8198451726875163]","[0, 0.37658303129441445, 0.5506236533796508, 0.3644514720260337, -0.4575214009833029, 0.3771727817503791, 1.2265813252930802, 1.7970163181814598, 2.1099705696531137, 0.36093205709639453, 1.0106677229208119, 1.7470461342496464, 1.9674551409782841, 0.32065224773942363, 1.0092452151728717, 1.8901850320766895, 2.3680274746287346, 0.2830785389491105, 1.140132637786894, 2.0992445416240817, 2.5722534350914286]"
24,"[0, 0.031041063213058964, 0.23761655141951477, 0.9307368012642522, 1.3890128054442303, -0.05488948191166951, 0.21965007395029398, 0.6300688889908571, 1.1240451762826444, -0.06263736208697938, 0.003655214022349464, 0.2003976824108491, 0.4981205668319713, -0.08459871600977575, -0.12100311522302357, 0.011962330899922201, 0.2839192792535165, -0.11150514756812027, -0.535297616416338, -0.8870307538996233, -0.8823917566074183]","[0, 0.3607518920091468, 0.5303144099916295, 0.25048474481870714, -0.6313435489811859, 0.3703872548845653, 1.19541097623239, 1.7392636323100015, 2.0514521453738155, 0.3560402874150408, 0.995180295969354, 1.7039959599128305, 1.939112557502895, 0.31139570521669185, 0.9942268064244832, 1.8389103924804975, 2.317867510609707, 0.26543981167867636, 1.0820521443970657, 1.9645090060910186, 2.413466893992558]"
25,"[0, 0.031041063213058964, 0.23761655141951477, 0.9307368012642522, 1.3890128054442303, -0.05488948191166951, 0.21965007395029398, 0.6300688889908571, 1.1240451762826444, -0.06263736208697938, 0.003655214022349464, 0.2003976824108491, 0.4981205668319713, -0.08459871600977575, -0.12100311522302357, 0.011962330899922201, 0.2839192792535165, -0.11150514756812027, -0.535297616416338, -0.8870307538996233, -0.8823917566074183]","[0, 0.3607518920091468, 0.5303144099916295, 0.25048474481870714, -0.6313435489811859, 0.3703872548845653, 1.19541097623239, 1.7392636323100015, 2.0514521453738155, 0.3560402874150408, 0.995180295969354, 1.7039959599128305, 1.939112557502895, 0.31139570521669185, 0.9942268064244832, 1.8389103924804975, 2.317867510609707, 0.26543981167867636, 1.0820521443970657, 1.9645090060910186, 2.413466893992558]"
